freq_ghz,theta_deg,rcs_db
1.0,-90.0,-14.980634238387076
1.0,-89.0,-14.488323741508847
1.0,-88.0,-13.389950084146673
1.0,-87.0,-11.828259528403617
1.0,-86.0,-10.005629342521942
1.0,-85.0,-8.157330743429927
1.0,-84.0,-6.520447201743396
1.0,-83.0,-5.30255520198452
1.0,-82.0,-4.654305937343705
1.0,-81.0,-4.649530950773149
1.0,-80.0,-5.275500525882675
1.0,-79.0,-6.434622055606245
1.0,-78.0,-7.957353948237396
1.0,-77.0,-9.62462861939345
1.0,-76.0,-11.196821596076404
1.0,-75.0,-12.445438760741542
1.0,-74.0,-13.18333458908846
1.0,-73.0,-13.289468346035754
1.0,-72.0,-12.724926950455883
1.0,-71.0,-11.538097229990967
1.0,-70.0,-9.858304072936713
1.0,-69.0,-7.878755085908371
1.0,-68.0,-5.831045390665083
1.0,-67.0,-3.954591425542273
1.0,-66.0,-2.465032690888819
1.0,-65.0,-1.5257767508902171
1.0,-64.0,-1.2264474560115755
1.0,-63.0,-1.5710841646600953
1.0,-62.0,-2.4776512547585487
1.0,-61.0,-3.788922685116167
1.0,-60.0,-5.293303278442504
1.0,-59.0,-6.752835368976848
1.0,-58.0,-7.934689990195789
1.0,-57.0,-8.641981333508426
1.0,-56.0,-8.739832629894316
1.0,-55.0,-8.173249077081877
1.0,-54.0,-6.974436041829163
1.0,-53.0,-5.258595455657897
1.0,-52.0,-3.2087558003636696
1.0,-51.0,-1.0516401682143475
1.0,-50.0,0.9722389000176306
1.0,-49.0,2.640306229462282
1.0,-48.0,3.7772801976917627
1.0,-47.0,4.278279265740464
1.0,-46.0,4.122625648979043
1.0,-45.0,3.3765221932642615
1.0,-44.0,2.1842488044650796
1.0,-43.0,0.7490417932345681
1.0,-42.0,-0.693817214775436
1.0,-41.0,-1.9081467335960212
1.0,-40.0,-2.688129642616061
1.0,-39.0,-2.8855648952432293
1.0,-38.0,-2.429505632381849
1.0,-37.0,-1.3356886749906103
1.0,-36.0,0.29549067365253245
1.0,-35.0,2.29219097466797
1.0,-34.0,4.433778349815419
1.0,-33.0,6.479928157592938
1.0,-32.0,8.202329249822323
1.0,-31.0,9.414801506413689
1.0,-30.0,9.997847012792718
1.0,-29.0,9.914390775854688
1.0,-28.0,9.214631077970928
1.0,-27.0,8.029358607925193
1.0,-26.0,6.552627229621639
1.0,-25.0,5.016066311037584
1.0,-24.0,3.6582290096169006
1.0,-23.0,2.693026852170301
1.0,-22.0,2.281421681931347
1.0,-21.0,2.5101156189776965
1.0,-20.0,3.3800549688448065
1.0,-19.0,4.806267208182561
1.0,-18.0,6.629052634252294
1.0,-17.0,8.635051870496866
1.0,-16.0,10.585405433831145
1.0,-15.0,12.247284430190156
1.0,-14.0,13.424625985772577
1.0,-13.0,13.984012104805572
1.0,-12.0,13.872272384933165
1.0,-11.0,13.1234846196412
1.0,-10.0,11.854448266600524
1.0,-9.0,10.249228941515522
1.0,-8.0,8.534816237585174
1.0,-7.0,6.951111443878923
1.0,-6.0,5.71921097463281
1.0,-5.0,5.01217652210616
1.0,-4.0,4.93215435044393
1.0,-3.0,5.496867177175334
1.0,-2.0,6.637263603230007
1.0,-1.0,8.206635703818243
1.0,0.0,10.0
1.0,1.0,11.78118083656367
1.0,2.0,13.314017401966485
1.0,3.0,14.393570730190126
1.0,4.0,14.873207024387476
1.0,5.0,14.683978538138007
1.0,6.0,13.843741040043296
1.0,7.0,12.454803081641003
1.0,8.0,10.690417681181211
1.0,9.0,8.77190138438755
1.0,10.0,6.939404149117639
1.0,11.0,5.420192471694551
1.0,12.0,4.398636767918863
1.0,13.0,3.9918688211777678
1.0,14.0,4.234325871405959
1.0,15.0,5.073223645498622
1.0,16.0,6.375556489297378
1.0,17.0,7.945699580603964
1.0,18.0,9.551287253246652
1.0,19.0,10.953947863951882
1.0,20.0,11.940833893534755
1.0,21.0,12.352780890570191
1.0,22.0,12.105374324841678
1.0,23.0,11.20014055700965
1.0,24.0,9.724383117560262
1.0,25.0,7.839685882693203
1.0,26.0,5.760602276891528
1.0,27.0,3.726346437924275
1.0,28.0,1.96922699144401
1.0,29.0,0.6839945088094055
1.0,30.0,0.002152987207284518
1.0,31.0,-0.025370250695869068
1.0,32.0,0.5650936859592224
1.0,33.0,1.6548047039230687
1.0,34.0,3.058353518502824
1.0,35.0,4.548211891845402
1.0,36.0,5.884849213846417
1.0,37.0,6.848435791330591
1.0,38.0,7.267943544375202
1.0,39.0,7.043798711598418
1.0,40.0,6.161093195954666
1.0,41.0,4.691608752797331
1.0,42.0,2.784386480128507
1.0,43.0,0.646087681647934
1.0,44.0,-1.4862588704150586
1.0,45.0,-3.376522193264258
1.0,46.0,-4.820615583029064
1.0,47.0,-5.673408740622973
1.0,48.0,-5.867849463044831
1.0,49.0,-5.423768248663591
1.0,50.0,-4.445202453356236
1.0,51.0,-3.1065936481408363
1.0,52.0,-1.629682111629685
1.0,53.0,-0.2541516606820835
1.0,54.0,0.7940961543302141
1.0,55.0,1.3328462105684986
1.0,56.0,1.247700761576076
1.0,57.0,0.5072484719924226
1.0,58.0,-0.8327329455857608
1.0,59.0,-2.636595886740968
1.0,60.0,-4.706696721557493
1.0,61.0,-6.8094625995479285
1.0,62.0,-8.706206814656385
1.0,63.0,-10.184620881189367
1.0,64.0,-11.086782050501588
1.0,65.0,-11.32997544284057
1.0,66.0,-10.917579436288346
1.0,67.0,-9.938575983637673
1.0,68.0,-8.555750616107943
1.0,69.0,-6.984141423639509
1.0,70.0,-5.462584789442845
1.0,71.0,-4.2221178421434695
1.0,72.0,-3.455412937043066
1.0,73.0,-3.2912831050650793
1.0,74.0,-3.7776273340400595
1.0,75.0,-4.875069314947233
1.0,76.0,-6.4621302611021365
1.0,77.0,-8.35125230658989
1.0,78.0,-10.313555204614621
1.0,79.0,-12.1090550357295
1.0,80.0,-13.518351889835492
1.0,81.0,-14.371599375129922
1.0,82.0,-14.570927981422674
1.0,83.0,-14.10335932353541
1.0,84.0,-13.042504812932718
1.0,85.0,-11.538824316814235
1.0,86.0,-9.799732032309464
1.0,87.0,-8.06217837896185
1.0,88.0,-6.561330921049813
1.0,89.0,-5.499492798873068
1.0,90.0,-5.019365761612925
6.444444444444445,-90.0,-5.004790943826966
6.444444444444445,-89.0,-13.679147152318436
6.444444444444445,-88.0,-9.761670574173179
6.444444444444445,-87.0,-6.56243201297305
6.444444444444445,-86.0,-14.898306080939113
6.444444444444445,-85.0,-6.169420790458004
6.444444444444445,-84.0,-9.985725572462007
6.444444444444445,-83.0,-13.092902042008939
6.444444444444445,-82.0,-4.616594142149898
6.444444444444445,-81.0,-13.182625832608592
6.444444444444445,-80.0,-9.202397779333246
6.444444444444445,-79.0,-5.874748762348226
6.444444444444445,-78.0,-14.131855902224036
6.444444444444445,-77.0,-5.322489765912456
6.444444444444445,-76.0,-9.014282484024324
6.444444444444445,-75.0,-12.064475963715019
6.444444444444445,-74.0,-3.4837200437796936
6.444444444444445,-73.0,-11.949202572506781
6.444444444444445,-72.0,-7.9150859610901785
6.444444444444445,-71.0,-4.468766356168078
6.444444444444445,-70.0,-12.657546023021249
6.444444444444445,-69.0,-3.77925911040736
6.444444444444445,-68.0,-7.358758750394843
6.444444444444445,-67.0,-10.36503122304157
6.444444444444445,-66.0,-1.6938827169396378
6.444444444444445,-65.0,-10.073413711305768
6.444444444444445,-64.0,-6.0009778679615735
6.444444444444445,-63.0,-2.452311608301825
6.444444444444445,-62.0,-10.58965521572627
6.444444444444445,-61.0,-1.6603203599711458
6.444444444444445,-60.0,-5.14591243433412
6.444444444444445,-59.0,-8.127336969416298
6.444444444444445,-58.0,0.6142986259037366
6.444444444444445,-57.0,-7.699559604121092
6.444444444444445,-56.0,-3.609878503216426
6.444444444444445,-55.0,0.0194873391913708
6.444444444444445,-54.0,-8.088445027650632
6.444444444444445,-53.0,0.869126754564765
6.444444444444445,-52.0,-2.5456808679368037
6.444444444444445,-51.0,-5.5258600887150795
6.444444444444445,-50.0,3.2620393736661786
6.444444444444445,-49.0,-5.010524735415652
6.444444444444445,-48.0,-0.9285487185288351
6.444444444444445,-47.0,2.7562198016760933
6.444444444444445,-46.0,-5.3477432591908745
6.444444444444445,-45.0,3.6120734379953263
6.444444444444445,-44.0,0.2419854926365772
6.444444444444445,-43.0,-2.76324808408752
6.444444444444445,-42.0,6.044241141208874
6.444444444444445,-41.0,-2.213608465118365
6.444444444444445,-40.0,1.8337644061561864
6.444444444444445,-39.0,5.546944909339989
