freq_ghz,theta_deg,rcs_db
1.0,-90.0,-14.930962823085952
1.0,-89.0,-14.502150171625965
1.0,-88.0,-13.325181230336604
1.0,-87.0,-11.675956542762814
1.0,-86.0,-10.029044679994275
1.0,-85.0,-8.180744439124846
1.0,-84.0,-6.362525920192657
1.0,-83.0,-5.225811729069229
1.0,-82.0,-4.7012533759372
1.0,-81.0,-4.595274946414552
1.0,-80.0,-5.321842295163922
1.0,-79.0,-6.481195030963271
1.0,-78.0,-7.933157721080792
1.0,-77.0,-9.815956643859229
1.0,-76.0,-11.369313379327707
1.0,-75.0,-12.50166751366564
1.0,-74.0,-13.284617701121903
1.0,-73.0,-13.258043612776227
1.0,-72.0,-12.815729358008005
1.0,-71.0,-11.679327600124497
1.0,-70.0,-9.711739196044558
1.0,-69.0,-7.901332715957024
1.0,-68.0,-5.824292570196291
1.0,-67.0,-4.097066244163619
1.0,-66.0,-2.519470963341337
1.0,-65.0,-1.5146844919192306
1.0,-64.0,-1.3415468137538058
1.0,-63.0,-1.533514362825528
1.0,-62.0,-2.5377151237504294
1.0,-61.0,-3.8180920600954944
1.0,-60.0,-5.353473939665443
1.0,-59.0,-6.567607550525954
1.0,-58.0,-7.936039712669582
1.0,-57.0,-8.747752426404016
1.0,-56.0,-8.657578138683997
1.0,-55.0,-8.295333442078979
1.0,-54.0,-6.9535496823286875
1.0,-53.0,-5.454562468045874
1.0,-52.0,-3.3415744052535126
1.0,-51.0,-1.0319540446274351
1.0,-50.0,1.0460855580171717
1.0,-49.0,2.657443057581279
1.0,-48.0,3.7657153694529386
1.0,-47.0,4.248168896181535
1.0,-46.0,3.9747734499423
1.0,-45.0,3.3045377724247906
1.0,-44.0,2.138184927369101
1.0,-43.0,0.8547540158564597
1.0,-42.0,-0.6594553858185899
1.0,-41.0,-2.0844507491322943
1.0,-40.0,-2.655721245676581
1.0,-39.0,-2.924073123284861
1.0,-38.0,-2.4971978324124446
1.0,-37.0,-1.2745210461065235
1.0,-36.0,0.39859062590212757
1.0,-35.0,2.38531898657959
1.0,-34.0,4.3498565974931545
1.0,-33.0,6.449006920007816
1.0,-32.0,8.23545559296268
1.0,-31.0,9.512356019125924
1.0,-30.0,9.949929589008189
1.0,-29.0,9.895824878188307
1.0,-28.0,9.103997580570326
1.0,-27.0,7.909737945517126
1.0,-26.0,6.633879811861059
1.0,-25.0,5.151690313894666
1.0,-24.0,3.651027997458867
1.0,-23.0,2.7933801419595037
1.0,-22.0,2.3175852844361104
1.0,-21.0,2.445603643517184
1.0,-20.0,3.4161945293956477
1.0,-19.0,4.960070864829158
1.0,-18.0,6.625470030341299
1.0,-17.0,8.791516236078268
1.0,-16.0,10.32343092342217
1.0,-15.0,12.329474680627678
1.0,-14.0,13.433330692596394
1.0,-13.0,13.954111369758985
1.0,-12.0,13.881448462586714
1.0,-11.0,12.92472772818111
1.0,-10.0,11.832481077816773
1.0,-9.0,10.284940198666696
1.0,-8.0,8.682605642059325
1.0,-7.0,6.899284422051558
1.0,-6.0,5.638361614343491
1.0,-5.0,4.962000817747707
1.0,-4.0,5.023694562214137
1.0,-3.0,5.5297422881413025
1.0,-2.0,6.584287582853303
1.0,-1.0,8.257962447129579
1.0,0.0,10.009707754934803
1.0,1.0,11.87804533561696
1.0,2.0,13.24381209257875
1.0,3.0,14.360804515530349
1.0,4.0,14.833996209074261
1.0,5.0,14.537627043324795
1.0,6.0,13.873353067749754
1.0,7.0,12.480908608858993
1.0,8.0,10.690929026845458
1.0,9.0,8.748442671050036
1.0,10.0,6.797867074912597
1.0,11.0,5.3781279394180155
1.0,12.0,4.364365316266187
1.0,13.0,3.911641094255606
1.0,14.0,4.218197300239358
1.0,15.0,5.113628731180076
1.0,16.0,6.5641750794184315
1.0,17.0,7.9631573618871485
1.0,18.0,9.577042292318929
1.0,19.0,10.946503272375265
1.0,20.0,11.748956772004851
1.0,21.0,12.350129503025268
1.0,22.0,12.111397345835782
1.0,23.0,11.44646476825818
1.0,24.0,9.70514702108215
1.0,25.0,7.869840616926565
1.0,26.0,5.757131099921003
1.0,27.0,3.609478634162322
